tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.192107,abund,0.00192107,8303437,18603,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,913657,6,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,72,72,Simonsiella muelleri,Simonsiella muelleri,species,0.0,abund,0.0,17308306,100,40
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,139,139,Borreliella burgdorferi,Borreliella burgdorferi,species,0.0,abund,0.0,4320408,3,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,142,142,Borrelia turicatae,Borrelia turicatae,species,0.0,abund,0.0,2713451,1,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,144,144,Borrelia coriaceae,Borrelia coriaceae,species,0.0,abund,0.0,10061818,1,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,159,159,Brachyspira hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,16619061,4,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,160,160,Treponema pallidum,Treponema pallidum,species,7.98544e-05,abund,7.98544e-07,166097296,7281,2091
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,162,162,Treponema phagedenis,Treponema phagedenis,species,1.60514e-05,abund,1.60514e-07,68863425,30,9
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,163,163,Treponema bryantii,Treponema bryantii,species,0.0,abund,0.0,9521342,3,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,173,173,Leptospira interrogans,Leptospira interrogans,species,0.0,abund,0.0,12550552,4222,222
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,174,174,Leptospira borgpetersenii,Leptospira borgpetersenii,species,6.11402e-05,abund,6.11402e-07,16082397,80,58
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,193,193,Azospirillum lipoferum,Azospirillum lipoferum,species,0.0,abund,0.0,39434868,1,1
