tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.33669,abund,0.0033669,8303437,53835,4,0.3366903088608518,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,671716,37,17,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,17,17,Methylophilus methylotrophus,Methylophilus methylotrophus,species,0.0,abund,0.0,1035566,1,0,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,24,24,Shewanella putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,9529437,3,1,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,34,34,Myxococcus xanthus,Myxococcus xanthus,species,0.0,abund,0.0,4432179,1,0,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,35,35,Corallococcus macrosporus,Corallococcus macrosporus,species,0.0,abund,0.0,7510222,17,2,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,48,48,Archangium gephyra,Archangium gephyra,species,0.0,abund,0.0,12315414,4,1,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,63,63,Vitreoscilla filiformis,Vitreoscilla filiformis,species,0.0,abund,0.0,2553148,1,0,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,72,72,Simonsiella muelleri,Simonsiella muelleri,species,0.0,abund,0.0,17308306,474,173,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,122,122,Gimesia maris,Gimesia maris,species,0.0,abund,0.0,5177890,1,1,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,128,128,Isosphaera pallida,Isosphaera pallida,species,0.0,abund,0.0,3898761,3,0,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,134,134,Methylocystis parvus,Methylocystis parvus,species,0.0,abund,0.0,47685817,3,3,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,139,139,Borreliella burgdorferi,Borreliella burgdorferi,species,0.0,abund,0.0,4320408,35,9,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,140,140,Borrelia hermsii,Borrelia hermsii,species,0.0,abund,0.0,6728898,7,1,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,141,141,Borrelia parkeri,Borrelia parkeri,species,0.0,abund,0.0,3973904,1,0,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,142,142,Borrelia turicatae,Borrelia turicatae,species,0.0,abund,0.0,2713451,11,4,0.0,0.9999990826559493
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,143,143,Borrelia anserina,Borrelia anserina,species,0.0,abund,0.0,7357905,1,1,0.0,0.9999990826559493
